query,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
architectural vaulted station,https://www.atlasobscura.com/places/city-hall-station,https://www.atlasobscura.com/places/vanderbilt-tennis-club,https://www.atlasobscura.com/places/templo-de-san-antonio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
large specially express,https://www.atlasobscura.com/places/city-hall-station,https://www.atlasobscura.com/places/gate-tower-building,https://www.atlasobscura.com/places/haymarket-square,https://www.atlasobscura.com/places/michelangelo-da-vinci-abandoned-planes,https://www.atlasobscura.com/places/green-river-cemetery,https://www.atlasobscura.com/places/camp-atterbury-prisoner-of-war-chapel,https://www.atlasobscura.com/places/prince-demetrius-gallitzin-crypt,https://www.atlasobscura.com/places/cocodrilo-de-leonora-carrington,https://www.atlasobscura.com/places/karlag-memorial-museum,NA,NA,NA,NA,NA,NA
intended ceilings,https://www.atlasobscura.com/places/city-hall-station,https://www.atlasobscura.com/places/haint-blue-porch-ceilings,https://www.atlasobscura.com/places/church-of-santa-maria-tonantzintla,https://www.atlasobscura.com/places/naniboujou-lodge,https://www.atlasobscura.com/places/belcourt-castle,https://www.atlasobscura.com/places/roman-cisterns-of-fermo,https://www.atlasobscura.com/places/la-crucecita-church-murals,NA,NA,NA,NA,NA,NA,NA,NA
manchester however,https://www.atlasobscura.com/places/highgate-cemetery,https://www.atlasobscura.com/places/cat-alley,https://www.atlasobscura.com/places/soviet-engels-statue,https://www.atlasobscura.com/places/the-new-manchester-manufacturing-company-lithia-springs-georgia,https://www.atlasobscura.com/places/victoria-baths,https://www.atlasobscura.com/places/out-house,https://www.atlasobscura.com/places/bubblegum-alley,https://www.atlasobscura.com/places/victoria-arches,https://www.atlasobscura.com/places/holden-wood-antiques,https://www.atlasobscura.com/places/the-union-pond-mill,https://www.atlasobscura.com/places/st-michaels-flags-and-angel-meadow-park,https://www.atlasobscura.com/places/statue-of-michael-jackson,https://www.atlasobscura.com/places/dovedale-stepping-stones,https://www.atlasobscura.com/places/locomotive-no-2-of-the-alcoi-gandia-railway,https://www.atlasobscura.com/places/the-snowman
regenerated claimed headless,https://www.atlasobscura.com/places/highgate-cemetery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
moriarty cemetery recognizable,https://www.atlasobscura.com/places/highgate-cemetery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
located entrance,https://www.atlasobscura.com/places/cape-matapan-caves,https://www.atlasobscura.com/places/berlin-botanical-garden,https://www.atlasobscura.com/places/leadenhall-market,https://www.atlasobscura.com/places/blue-cave-of-bisevo,https://www.atlasobscura.com/places/clifton-s-gates-of-hell,https://www.atlasobscura.com/places/berlin-wall-section,https://www.atlasobscura.com/places/el-sabroso,https://www.atlasobscura.com/places/slab-city-california,https://www.atlasobscura.com/places/cave-of-kelpius,https://www.atlasobscura.com/places/junkmans-daughter,https://www.atlasobscura.com/places/fort-miley-batteries-lands-end,https://www.atlasobscura.com/places/santa-rosa-blue-hole,https://www.atlasobscura.com/places/green-mill,https://www.atlasobscura.com/places/catacombs-washington-dc,https://www.atlasobscura.com/places/haus-schwarzenberg-street-art-alley
time us london,https://www.atlasobscura.com/places/leadenhall-market,https://www.atlasobscura.com/places/the-masque-los-angeles-california,https://www.atlasobscura.com/places/pomander-walk,https://www.atlasobscura.com/places/heinolds-first-and-last-chance-saloon,https://www.atlasobscura.com/places/witchs-dungeon,https://www.atlasobscura.com/places/site-london-beer-flood,https://www.atlasobscura.com/places/national-gallery-art-materials-collection,https://www.atlasobscura.com/places/le-grand-k,https://www.atlasobscura.com/places/largest-street-art-mural-in-the-world,https://www.atlasobscura.com/places/the-king-s-cross-ice-well-london-england,https://www.atlasobscura.com/places/twinings-tea-shop,https://www.atlasobscura.com/places/greenwich-foot-tunnel,https://www.atlasobscura.com/places/deptford-anchor,https://www.atlasobscura.com/places/earls-court-police-box,https://www.atlasobscura.com/places/seven-noses-of-soho
financial goblet,https://www.atlasobscura.com/places/leadenhall-market,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
frequency flow,https://www.atlasobscura.com/places/wave-organ,https://www.atlasobscura.com/places/the-conch-republic-key-west-florida,https://www.atlasobscura.com/places/the-denver-sluice-complex-denver-england,https://www.atlasobscura.com/places/dowdens-ordinary-park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
